From,To,Label,Type,Tags,Description,Coaching Year Retired,Coaching Year Started,Current Position,First,Last,Playing Year Retired,Playing Year Started College,Wikipedia info,closeness,metrics::last,year retired
Bob Stoops,Mike Leach,,,,,,,,,,,,,,,
Marvin Lewis,Steve Spurrier,,,,,,,,,,,,,,,
Joe Novak,Bill Mallory,,,,,,,,,,,,,,,
Chuck Noll,Don Shula,,,,,,,,,,,,,,,
Knute Rockne,Jack Marks,,,,,,,,,,,,,,,
Pat Shurmur,Mark Whipple,,,,,,,,,,,,,,,
Bill Parcells,Eric Mangini,,,,,,,,,,,,,,,
Dick Tomey,Rip Scherer,,,,,,,,,,,,,,,
Nick Saban,Kirby Smart,,,,,,,,,,,,,,,
Wade Phillips,Buddy Ryan,,,,,,,,,,,,,,,
Doug Marrone,Gus Bradley,,,,,,,,,,,,,,,
Manny Diaz,Skip Holtz,,,,,,,,,,,,,,,
Vic Fangio,Dom Capers,,,,,,,,,,,,,,,
John Mackovic,Dewey King,,,,,,,,,,,,,,,
Al Davis,Art Shell,,,,,,,,,,,,,,,
Bill Parcells,Ray Handley,,,,,,,,,,,,,,,
Frank Reich,Mike McCoy,,,,,,,,,,,,,,,
Bill Belichick,Bill O'Brien,,Head coach-assistant coach,,,,,,,,,,,,,
Barry Switzer,Galen Hall,,,,,,,,,,,,,,,
Sean Payton,Mike Neu,,,,,,,,,,,,,,,
Don James,Perry Moss,,,,,,,,,,,,,,,
Tom Reed,Tim Rose,,,,,,,,,,,,,,,
Frank Broyles,Hayden Fry,,,,,,,,,,,,,,,
Charlie Weis,Bill Parcells,,,,,,,,,,,,,,,
Bo Schembechler,Jim Young,,Head coach-assistant coach,,,,,,,,,,,,,
Mark Dantonio,Don Treadwell,,,,,,,,,,,,,,,
Brian Billick,Jack Del Rio,,,,,,,,,,,,,,,
Bob Stoops,Chuck Long,,,,,,,,,,,,,,,
Gene Stallings,Tom Landry,,,,,,,,,,,,,,,
Paul Schudel,Mike Haywood,,,,,,,,,,,,,,,
Bill Belichick,Greg Schiano,,Head coach-assistant coach,,,,,,,,,,,,,
Ara Parseghian,John McVay,,,,,,,,,,,,,,,
Bill Walsh,Paul Hackett,,,,,,,,,,,,,,,
Mike Vrabel,Bill O'Brien,,,,,,,,,,,,,,,
Bret Bielema,Bill Belichick,,Head coach-assistant coach,,,,,,,,,,,,,
Woody Hayes,George Brugel,,,,,,,,,,,,,,,
Monte Kiffin,Herm Edwards,,,,,,,,,,,,,,,
James Franklin,Joe Moorhead,,,,,,,,,,,,,,,
Sean Payton,Ed Orgeron,,,,,,,,,,,,,,,
Bill Walsh,Dennis Green,,,,,,,,,,,,,,,
Jim L Mora,Jim E Mora,,,,,,,,,,,,,,,
Nick Saban,George Perles,,,,,,,,,,,,,,,
Josh McDaniels,Bill Belichick,,Head coach-assistant coach,,,,,,,,,,,,,
Mack Brown,Barry Switzer,,,,,,,,,,,,,,,
Greg Schiano,Kyle Flood,,,,,,,,,,,,,,,
Knute Rockne,Stan Cofall,,,,,,,,,,,,,,,
Red Miller,Bill Belichick,,,,,,,,,,,,,,,
Paul Brown,Blanton Collier,,,,,,,,,,,,,,,
Mike Mularkey,Mel Tucker,,,,,,,,,,,,,,,
Rick Neuheisel,Bobby Hauck,,,,,,,,,,,,,,,
Mike Riley,Jim Haslett,,,,,,,,,,,,,,,
Bill Parcells,Kevin Gilbride,,,,,,,,,,,,,,,
Woody Hayes,Ralph Staub,,,,,,,,,,,,,,,
Curly Lambeau,Knute Rockne,,,,,,,,,,,,,,,
Paul Brown,Bud Grant,,,,,,,,,,,,,,,
Fielding Yost,"Thomas Gawthrop ""Doggie"" Trenchard",,,,,,,,,,,,,,,
Vic Fangio,Brian Billick,,,,,,,,,,,,,,,
Nick Saban,Lane Kiffin,,,,,,,,,,,,,,,
Nick Saban,Scott Linehan,,,,,,,,,,,,,,,
George A. Stewart,"Marshall ""Ma"" Newell",,,,,,,,,,,,,,,
Monte Kiffin,Jon Gruden,,,,,,,,,,,,,,,
Ron Prince,James Franklin,,,,,,,,,,,,,,,
John Robinson,Mike Riley,,,,,,,,,,,,,,,
Mike Nolan,Dan Reeves,,,,,,,,,,,,,,,
Woody Hayes,John Pont,,,,,,,,,,,,,,,
Pat Hill,Ruffin McNeil,,,,,,,,,,,,,,,
Mike MacIntyre,Bill Parcells,,,,,,,,,,,,,,,
Pete Carroll,George Seifert,,,,,,,,,,,,,,,
Dick Vermeil,Al Saunders,,,,,,,,,,,,,,,
Pat Hill,Bill Belichick,,,,,,,,,,,,,,,
Marty Schottenheimer,Gunther Cunningham,,,,,,,,,,,,,,,
Don McCafferty,Don Shula,,,,,,,,,,,,,,,
Jim Harbaugh,Lindy Infante,,,,,,,,,,,,,,,
John Robinson,John Madden,,,,,,,,,,,,,,,
Chuck Noll,Tony Dungy,,,,,,,,,,,,,,,
Mike Tomlin,Sean Kugler,,,,,,,,,,,,,,,
Bill McCartney,Rick Neuheisel,,,,,,,,,,,,,,,
Bill Belichick,Bill Parcells,,Head coach-assistant coach,,,,,,,,,,,,,
Wade Phillips,Bum Phillips,,,,,,,,,,,,,,,
Bill Cowher,Chan Gailey,,,,,,,,,,,,,,,
Lou Holtz,Forest Evashevski,,,,,,,,,,,,,,,
Bear Bryant,Howard Schnellenberger,,,,,,,,,,,,,,,
Dan Enos,Nick Saban,,,,,,,,,,,,,,,
Jim Young,Charlie Taafe,,,,,,,,,,,,,,,
Wade Phillips,Dan Reeves,,,,,,,,,,,,,,,
Bo Schembechler,Jerry Hanlon,,Head coach-assistant coach,,,,,,,,,,,,,
Mike Mularkey,Cam Cameron,,,,,,,,,,,,,,,
Bo Schembechler,Elliot Uzelac,,Head coach-assistant coach,,,,,,,,,,,,,
Frank Leahy,"Jim ""Sleepy"" Crowley",,,,,,,,,,,,,,,
Don McCafferty,Paul Brown,,,,,,,,,,,,,,,
Pepper Rodgers,Tommy Prothro,,,,,,,,,,,,,,,
John Mackovic,Bo Schembechler,,,,,,,,,,,,,,,
Nick Saban,Mike Locksley,,,,,,,,,,,,,,,
Jim Lee Howell,Vince Lombardi,,,,,,,,,,,,,,,
Bill Belichick,Eric Mangini,,Head coach-assistant coach,,,,,,,,,,,,,
Andy Reid,Matt Nagy,,,,,,,,,,,,,,,
Greg Schiano,Urban Meyer,,,,,,,,,,,,,,,
Monte Kiffin,Lou Holtz,,,,,,,,,,,,,,,
Les Miles,Mike Gundy,,,,,,,,,,,,,,,
John Mackovic,Major Applewhite,,,,,,,,,,,,,,,
Pat Hill,Trent Miles,,,,,,,,,,,,,,,
Bob Stoops,Bo Pelini,,,,,,,,,,,,,,,
John Robinson,Ed Orgeron,,,,,,,,,,,,,,,
George Allen,Jack Pardee,,,,,,,,,,,,,,,
Lloyd Carr,Ron English,,,,,,,,,,,,,,,
Bill Parcells,Anthony Lynn,,,,,,,,,,,,,,,
Jim Harbaugh,Jim Tomsula,,,,,,,,,,,,,,,
Mike Zimmer,Mike Price,,,,,,,,,,,,,,,
Anthony Lynn,Jack Del Rio,,,,,,,,,,,,,,,
Bobby Dodd,Ray Graves,,,,,,,,,,,,,,,
Vic Fangio,Jim Harbaugh,,,,,,,,,,,,,,,
Steve Spurrier,Pepper Rodgers,,,,,,,,,,,,,,,
Marty Schottenheimer,Bill Cowher,,,,,,,,,,,,,,,
Dick Jauron,Todd Haley,,,,,,,,,,,,,,,
"William ""Bill"" Alexander",Frank Broyles,,,,,,,,,,,,,,,
Woody Hayes,Tom Rodgers,,,,,,,,,,,,,,,
John Harbaugh,Chuck Pagano,,,,,,,,,,,,,,,
Anthony Lynn,Mike Shanahan,,,,,,,,,,,,,,,
Hayden Fry,Kirk Ferentz,,,,,,,,,,,,,,,
Buddy Ryan,Jeff Fisher,,,,,,,,,,,,,,,
Ray Graves,Bob Neyland,,,,,,,,,,,,,,,
Don Shula,Ray Perkins,,,,,,,,,,,,,,,
John McVay,Bill Walsh,,,,,,,,,,,,,,,
Jim Schwartz,Jeff Fisher,,,,,,,,,,,,,,,
Woody Hayes,Dick LeBeau,,,,,,,,,,,,,,,
Pat Hill,Lane Kiffin,,,,,,,,,,,,,,,
Buddy Ryan,Mike Ditka,,,,,,,,,,,,,,,
Bear Bryant,David Cutcliffe,,,,,,,,,,,,,,,
Paul Brown,Bill Walsh,,,,,,,,,,,,,,,
David Shaw,Jim Harbaugh,,,,,,,,,,,,,,,
Dave McGinnis,Mike Ditka,,,,,,,,,,,,,,,
Mike Nolan,Dick Nolan,,,,,,,,,,,,,,,
Dan Quinn,Matt LaFleur,,,,,,,,,,,,,,,
Steve Mariucci,Dan Quinn,,,,,,,,,,,,,,,
Marvin Lewis,Hue Jackson,,,,,,,,,,,,,,,
John Robinson,Len Casanova,,,,,,,,,,,,,,,
"Robert S. ""Bob"" Carlson",Bill Pace,,,,,,,,,,,,,,,
Matt LaFleur,Kyle Shanahan,,,,,,,,,,,,,,,
Ara Parseghian,Warren Schmackel,,,,,,,,,,,,,,,
Woody Hayes,Bill Arnsparger,,,,,,,,,,,,,,,
Mike Smith,Jim Ragland,,,,,,,,,,,,,,,
Jim Harbaugh,Jay Harbaugh,,,,,,,,,,,,,,,
John Mackovic,Jim Young,,,,,,,,,,,,,,,
Jason Garrett,Jim Fassel,,,,,,,,,,,,,,,
Bill Walsh,Mike Holmgren,,,,,,,,,,,,,,,
Tom Coughlin,Kevin Gilbride,,,,,,,,,,,,,,,
Knute Rockne,"Frank ""Shorty"" Longman",,,,,,,,,,,,,,,
Paul Schudel,Rick Minter,,,,,,,,,,,,,,,
John Harbaugh,Jack Harbaugh,,+,,,,,,,,,,,,,
Mack Brown,Major Applewhite,,,,,,,,,,,,,,,
Dick Jauron,Steve Fairchild,,,,,,,,,,,,,,,
Don Coryell,Ernie Zampese,,,,,,,,,,,,,,,
John Robinson,Jerry Frei,,,,,,,,,,,,,,,
Jon Gruden,Raheem Morris,,,,,,,,,,,,,,,
Dana X. Bible,Paul J. Amen,,,,,,,,,,,,,,,
Dirk Koetter,Dan Quinn,,,,,,,,,,,,,,,
Amos Alonzo Stagg,Jesse Harper,,,,,,,,,,,,,,,
Nick Saban,Dennis Fitzgerald,,,,,,,,,,,,,,,
Freddie Kitchens,Ken Whisenhunt,,,,,,,,,,,,,,,
Bruce Arians,Butch Davis,,,,,,,,,,,,,,,
Dick Tomey,Rich Ellerson,,,,,,,,,,,,,,,
Greg Schiano,Mario Cristobal,,,,,,,,,,,,,,,
Dennis Green,Brian Billick,,,,,,,,,,,,,,,
Rick Forzano,Wayne Hardin,,,,,,,,,,,,,,,
Fielding Yost,Parke H. Davis,,,,,,,,,,,,,,,
Bruce Arians,Mike DuBose,,,,,,,,,,,,,,,
Tony Dungy,Rod Marinelli,,,,,,,,,,,,,,,
Hayden Fry,Jim Leavitt,,,,,,,,,,,,,,,
Major Applewhite,Tom Herman,,,,,,,,,,,,,,,
Leon Burtnett,Joe Tiller,,,,,,,,,,,,,,,
Doug Marrone,Herm Edwards,,,,,,,,,,,,,,,
John Harbaugh,Mike Pettine,,,,,,,,,,,,,,,
Jimbo Fisher,Mark Stoops,,,,,,,,,,,,,,,
Vic Fangio,John Harbaugh,,,,,,,,,,,,,,,
Adam Gase,John Fox,,,,,,,,,,,,,,,
Mark Dantonio,Bobby Williams,,,,,,,,,,,,,,,
